generation,best_result0,best_result1,best_result2,best_result3,best_result4,best_result5,best_result6,best_result7,best_result8,best_result9,best_result10,best_result11,best_result12,best_result13,best_result14,best_result15,best_result16,best_result17,best_result18,best_result19,best_result20,best_result21,best_result22,best_result23,best_result24,best_result25,best_result26,best_result27,best_result28,best_result29,best_result30,best_result31,best_result32,best_result33,best_result34,best_result35,best_result36,best_result37,best_result38,best_result39,best_result40,best_result41,best_result42,best_result43,best_result44,best_result45,best_result46,best_result47,best_result48,best_result49,mean_result
0,487.0,501.0,508.0,515.0,540.0,503.0,478.0,521.0,495.0,490.0,471.0,483.0,510.0,537.0,505.0,506.0,492.0,512.0,503.0,508.0,534.0,507.0,505.0,519.0,471.0,535.0,494.0,515.0,508.0,497.0,519.0,500.0,479.0,477.0,512.0,496.0,498.0,512.0,442.0,511.0,501.0,517.0,540.0,505.0,487.0,498.0,511.0,476.0,538,517.0,503.72
1,487.0,501.0,506.0,473.0,540.0,503.0,478.0,506.0,495.0,490.0,471.0,483.0,510.0,515.0,486.0,506.0,492.0,512.0,487.0,507.0,518.0,507.0,505.0,505.0,461.0,521.0,494.0,515.0,484.0,497.0,515.0,488.0,479.0,469.0,495.0,496.0,491.0,512.0,442.0,511.0,501.0,517.0,525.0,505.0,487.0,488.0,511.0,476.0,538,517.0,498.36
2,485.0,473.0,499.0,473.0,495.0,503.0,460.0,506.0,495.0,490.0,466.0,470.0,487.0,504.0,486.0,492.0,492.0,512.0,486.0,489.0,499.0,500.0,505.0,491.0,460.0,457.0,494.0,496.0,482.0,497.0,495.0,484.0,479.0,469.0,495.0,496.0,486.0,470.0,442.0,511.0,494.0,507.0,510.0,489.0,487.0,488.0,500.0,473.0,538,510.0,489.34
3,475.0,473.0,472.0,473.0,495.0,496.0,460.0,472.0,471.0,490.0,465.0,470.0,470.0,488.0,486.0,484.0,459.0,488.0,474.0,489.0,499.0,480.0,482.0,487.0,431.0,450.0,494.0,496.0,464.0,484.0,495.0,481.0,479.0,469.0,468.0,477.0,478.0,470.0,442.0,510.0,478.0,463.0,506.0,489.0,484.0,488.0,500.0,462.0,513,509.0,479.56
4,465.0,470.0,472.0,448.0,481.0,493.0,456.0,472.0,471.0,481.0,451.0,470.0,470.0,479.0,484.0,484.0,447.0,488.0,435.0,469.0,499.0,465.0,478.0,464.0,431.0,450.0,494.0,483.0,464.0,484.0,479.0,460.0,468.0,469.0,457.0,474.0,470.0,470.0,442.0,498.0,478.0,463.0,497.0,487.0,480.0,471.0,481.0,462.0,513,488.0,472.1
5,460.0,459.0,468.0,448.0,481.0,491.0,456.0,434.0,452.0,462.0,451.0,462.0,466.0,476.0,482.0,467.0,442.0,488.0,435.0,461.0,479.0,455.0,478.0,464.0,431.0,450.0,481.0,482.0,463.0,468.0,479.0,444.0,460.0,464.0,457.0,451.0,459.0,470.0,442.0,468.0,466.0,463.0,494.0,476.0,480.0,462.0,481.0,442.0,482,488.0,464.4
6,448.0,454.0,462.0,448.0,481.0,458.0,444.0,434.0,436.0,462.0,436.0,462.0,452.0,476.0,460.0,464.0,437.0,452.0,435.0,446.0,479.0,455.0,472.0,462.0,428.0,446.0,464.0,475.0,454.0,468.0,475.0,444.0,460.0,455.0,452.0,451.0,448.0,470.0,442.0,452.0,466.0,463.0,493.0,469.0,473.0,461.0,461.0,442.0,477,479.0,457.66
7,428.0,447.0,446.0,431.0,481.0,427.0,444.0,434.0,436.0,461.0,435.0,458.0,447.0,475.0,460.0,456.0,433.0,452.0,435.0,444.0,455.0,439.0,458.0,448.0,428.0,442.0,463.0,468.0,454.0,468.0,449.0,441.0,458.0,443.0,447.0,451.0,448.0,469.0,442.0,452.0,450.0,463.0,490.0,469.0,463.0,453.0,461.0,433.0,468,466.0,451.38
8,415.0,438.0,421.0,431.0,481.0,427.0,443.0,434.0,436.0,441.0,435.0,450.0,426.0,471.0,455.0,446.0,431.0,443.0,432.0,422.0,455.0,435.0,448.0,448.0,423.0,442.0,463.0,466.0,454.0,456.0,449.0,432.0,447.0,443.0,444.0,451.0,431.0,451.0,442.0,452.0,450.0,436.0,482.0,455.0,457.0,452.0,447.0,429.0,468,459.0,444.9
9,415.0,438.0,421.0,423.0,481.0,426.0,439.0,429.0,436.0,423.0,429.0,443.0,423.0,463.0,455.0,444.0,427.0,437.0,432.0,417.0,449.0,423.0,448.0,446.0,417.0,442.0,462.0,445.0,445.0,456.0,431.0,425.0,447.0,442.0,443.0,445.0,431.0,451.0,442.0,452.0,448.0,436.0,476.0,442.0,451.0,444.0,447.0,429.0,452,447.0,440.3
10,414.0,438.0,421.0,423.0,473.0,423.0,434.0,429.0,434.0,420.0,428.0,426.0,407.0,463.0,449.0,422.0,407.0,420.0,428.0,411.0,440.0,423.0,440.0,446.0,412.0,442.0,446.0,445.0,443.0,451.0,431.0,415.0,440.0,440.0,439.0,438.0,421.0,451.0,442.0,448.0,448.0,431.0,472.0,442.0,451.0,427.0,447.0,418.0,452,446.0,435.14
11,414.0,431.0,421.0,422.0,473.0,411.0,425.0,425.0,433.0,419.0,427.0,421.0,404.0,445.0,438.0,422.0,407.0,420.0,419.0,411.0,438.0,422.0,440.0,445.0,407.0,442.0,445.0,443.0,440.0,451.0,431.0,410.0,440.0,440.0,439.0,438.0,421.0,441.0,442.0,426.0,441.0,431.0,469.0,440.0,440.0,427.0,443.0,418.0,452,411.0,431.22
12,414.0,431.0,421.0,412.0,473.0,411.0,425.0,425.0,431.0,419.0,427.0,421.0,404.0,445.0,438.0,421.0,407.0,412.0,413.0,407.0,438.0,416.0,440.0,434.0,403.0,442.0,443.0,435.0,440.0,441.0,426.0,410.0,439.0,438.0,435.0,438.0,421.0,441.0,442.0,426.0,426.0,425.0,467.0,429.0,440.0,413.0,434.0,418.0,452,411.0,428.4
13,412.0,429.0,421.0,412.0,473.0,405.0,425.0,423.0,423.0,419.0,419.0,418.0,404.0,445.0,437.0,421.0,407.0,408.0,410.0,407.0,430.0,415.0,438.0,429.0,402.0,442.0,442.0,435.0,440.0,435.0,426.0,410.0,437.0,430.0,435.0,436.0,421.0,441.0,442.0,426.0,426.0,420.0,462.0,429.0,438.0,412.0,430.0,418.0,446,411.0,426.44
14,412.0,410.0,421.0,410.0,473.0,393.0,412.0,418.0,419.0,419.0,419.0,418.0,400.0,441.0,427.0,420.0,395.0,408.0,410.0,401.0,424.0,415.0,438.0,429.0,402.0,442.0,442.0,435.0,440.0,435.0,426.0,410.0,429.0,430.0,428.0,436.0,421.0,441.0,,411.0,426.0,420.0,450.0,425.0,429.0,412.0,426.0,418.0,439,411.0,422.7755102040816
15,412.0,410.0,421.0,410.0,469.0,393.0,412.0,418.0,417.0,419.0,419.0,418.0,400.0,441.0,427.0,419.0,395.0,408.0,410.0,400.0,424.0,415.0,438.0,427.0,401.0,442.0,438.0,435.0,440.0,431.0,426.0,410.0,429.0,429.0,428.0,431.0,421.0,439.0,,411.0,426.0,414.0,450.0,424.0,429.0,408.0,426.0,418.0,429,411.0,421.7959183673469
